,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE
,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ
,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.
,1-Jul-13,1-Oct-13,1-Jan-14,1-Apr-14,1-Jul-14,1-Oct-14,1-Jan-15,1-Apr-15,1-Jul-15
Company Name,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price 
Punjab National Bank,133.75,92.38,126.98,147,199.3,175.85,219.65,151.95,140.8
Ranbaxy Laboratories Ltd. [Merged],324.45,350.5,462.65,370.85,511.65,638.4,,,
Reliance Capital Ltd.,361,320.3,366.15,340.95,653.85,458.3,497.75,432.55,364.75
Reliance Communications Ltd.,132.6,148.85,138.35,127.55,145.9,96.9,83.25,60.7,62.7
Reliance Industries Ltd.,885.7,821.45,888.8,942.6,1008,927.2,887.9,836.05,1005.65
Reliance Infrastructure Ltd.,366.5,375.9,433.4,434.1,774.5,592.55,512.25,442.4,390
Reliance Power Ltd.,68.9,67.55,74.2,70.1,108.4,69.65,62.4,57.3,45.35
Rural Electrification Corpn. Ltd.,205.95,191.05,219.15,225.2,356.4,251.8,335.7,337.6,280.05
Shriram Transport Finance Co. Ltd.,703.25,568.8,672.2,754.85,904.5,910.4,1102.35,1148.8,890.65
Siemens Ltd.,570,488.2,663.9,739.95,962.45,818.05,906.7,1412.5,1383.3
State Bank Of India,201.56,164.34,176.51,189.37,268.02,242.34,314,273.45,267.75
Steel Authority Of India Ltd.,52.3,51.55,73.05,71.15,98.45,70.55,82.75,70.2,64.45
Sun Pharmaceutical Inds. Ltd.,502.5,590,572.35,572.1,679.25,860.8,822.2,1081.15,873.1
Sun T V Network Ltd.,391,403.35,384.6,405.4,461.35,342.75,378.6,456,280.2
Syndicate Bank,112.75,68.95,96,94.4,172.4,108.75,133.75,103.4,101
Tata Chemicals Ltd.,287.2,240.2,276.4,292.7,341.45,395.6,434.5,441.1,437.1
Tata Communications Ltd.,177.95,202.05,309.55,301.85,401.45,359.95,441.6,426.05,438.2
Tata Consultancy Services Ltd.,1492.35,1949.05,2153.3,2176.7,2390.75,2775.6,2545.55,2542.65,2593.1
Tata Global Beverages Ltd.,141.5,149.8,160.5,154.25,174.8,158.85,150.7,151.1,135.55
Tata Motors Insurance Broking & Advisory Services Ltd.,,,,,,,,,
Tata Motors Ltd.,286.72,332.09,370.97,398.87,446.02,497.41,493.16,558.91,444.5
Tata Power Co. Ltd.,85.55,75.13,87.24,84.25,108.4,80.8,82.15,77.5,74.75
Tata Steel Ltd.,280.7,275.75,425.9,401.15,540.65,448.8,404.45,323.65,306.95
Tech Mahindra Ltd.,258.61,331.43,457.02,454.89,527.23,630.2,648.64,632.7,486.15
Titan Company Ltd.,226.95,234.95,230.8,265.15,355.8,404.85,379.8,390.4,361.9
U P L Ltd.,139.25,143.3,198.45,192.75,335,338.7,341.6,440.7,547.2
Uco Bank,64.95,59.05,80.1,71.55,105.25,80.55,85.7,65.7,54.45
Ultratech Cement Ltd.,1932.3,1813.3,1769.25,2158.05,2630.05,2648.75,2662.5,2883.7,3057.95
Union Bank Of India,192.55,112.05,131.1,134.85,234.55,190.7,241.15,162.05,156.3
Unitech Ltd.,23.25,15.8,15.7,13.55,34.65,19.2,16.85,16.2,8.15
United Breweries Ltd.,827.25,842.15,768.8,824.95,700.75,711.75,834.6,996.1,922.45
United Spirits Ltd.,2457.25,2511,2608.05,2673.85,2417.4,2350.85,2818.3,3633.5,3359.6
Vedanta Ltd.,149.05,175.25,202,192.4,296.2,270.9,219.25,190.15,176
Voltas Ltd.,82.9,76,117.9,158.5,218.65,243.35,240.8,283.7,322.25
Wipro Ltd.,351.25,471.85,552.7,561.05,538.2,615.75,552.4,633.2,552.75
Yes Bank Ltd.,470.15,294.9,374.45,410.35,556.25,557.45,772.55,847.75,867.05
Zee Entertainment Enterprises Ltd.,247.6,231.05,277,273.4,299.5,313.5,377.7,340.85,363.8
